"entidad","nom_ent","mun","nom_mun","loc","nom_loc","ageb","mza","pobtot","pobmas","pobfem","p_0a2","p_0a2_m","p_0a2_f","p_3ymas","p_3ymas_m","p_3ymas_f","p_5ymas","p_5ymas_m","p_5ymas_f","p_12ymas","p_12ymas_m","p_12ymas_f","p_15ymas","p_15ymas_m","p_15ymas_f","p_18ymas","p_18ymas_m","p_18ymas_f","p_3a5","p_3a5_m","p_3a5_f","p_6a11","p_6a11_m","p_6a11_f","p_8a14","p_8a14_m","p_8a14_f","p_12a14","p_12a14_m","p_12a14_f","p_15a17","p_15a17_m","p_15a17_f","p_18a24","p_18a24_m","p_18a24_f","p_15a49_f","p_60ymas","p_60ymas_m","p_60ymas_f","rel_h_m","pob0_14","pob15_64","pob65_mas","prom_hnv","pnacent","pnacent_m","pnacent_f","pnacoe","pnacoe_m","pnacoe_f","pres2005","pres2005_m","pres2005_f","presoe05","presoe05_m","presoe05_f","p3ym_hli","p3ym_hli_m","p3ym_hli_f","p3hlinhe","p3hlinhe_m","p3hlinhe_f","p3hli_he","p3hli_he_m","p3hli_he_f","p5_hli","p5_hli_nhe","p5_hli_he","phog_ind","pcon_lim","pclim_mot","pclim_vis","pclim_leng","pclim_aud","pclim_mot2","pclim_men","pclim_men2","psin_lim","p3a5_noa","p3a5_noa_m","p3a5_noa_f","p6a11_noa","p6a11_noam","p6a11_noaf","p12a14noa","p12a14noam","p12a14noaf","p15a17a","p15a17a_m","p15a17a_f","p18a24a","p18a24a_m","p18a24a_f","p8a14an","p8a14an_m","p8a14an_f","p15ym_an","p15ym_an_m","p15ym_an_f","p15ym_se","p15ym_se_m","p15ym_se_f","p15pri_in","p15pri_inm","p15pri_inf","p15pri_co","p15pri_com","p15pri_cof","p15sec_in","p15sec_inm","p15sec_inf","p15sec_co","p15sec_com","p15sec_cof","p18ym_pb","p18ym_pb_m","p18ym_pb_f","graproes","graproes_m","graproes_f","pea","pea_m","pea_f","pe_inac","pe_inac_m","pe_inac_f","pocupada","pocupada_m","pocupada_f","pdesocup","pdesocup_m","pdesocup_f","psinder","pder_ss","pder_imss","pder_iste","pder_istee","pder_segp","p12ym_solt","p12ym_casa","p12ym_sepa","pcatolica","pncatolica","potras_rel","psin_relig","tothog","hogjef_m","hogjef_f","pobhog","phogjef_m","phogjef_f","vivtot","tvivhab","tvivpar","vivpar_hab","tvivparhab","vivpar_des","vivpar_ut","ocupvivpar","prom_ocup","pro_ocup_c","vph_pisodt","vph_pisoti","vph_1dor","vph_2ymasd","vph_1cuart","vph_2cuart","vph_3ymasc","vph_c_elec","vph_s_elec","vph_aguadv","vph_aguafv","vph_excsa","vph_drenaj","vph_nodren","vph_c_serv","vph_snbien","vph_radio","vph_tv","vph_refri","vph_lavad","vph_autom","vph_pc","vph_telef","vph_cel","vph_inter"
09,Distrito Federal,010,Álvaro Obregón,0001,Total AGEB urbana,0012,000,1775,803,972,45,24,21,1709,768,941,1671,749,922,1542,685,857,1479,653,826,1416,620,796,46,24,22,121,59,62,152,74,78,63,32,31,63,33,30,183,93,90,463,373,142,231,82.61,275,1206,273,1.68,1511,698,813,223,84,139,1604,719,885,49,20,29,4,3,*,0,0,0,*,*,*,4,0,*,6,76,43,13,7,14,*,3,11,1657,10,5,5,5,*,3,3,*,*,48,23,25,112,57,55,*,0,*,5,*,4,19,8,11,55,16,39,114,42,72,61,29,32,173,92,81,1013,449,564,12.15,12.41,11.93,830,453,377,698,229,469,754,406,348,76,47,29,479,1262,778,327,3,57,642,633,258,1568,70,10,67,529,320,209,1748,1152,596,634,537,626,529,536,82,15,1748,3.30,0.77,512,0,181,342,17,52,452,523,0,519,*,520,518,0,517,0,504,517,499,441,302,322,445,416,261
09,Distrito Federal,010,Álvaro Obregón,0001,Total AGEB urbana,0027,000,2565,1148,1417,74,37,37,2446,1088,1358,2395,1060,1335,2192,966,1226,2102,925,1177,2006,878,1128,75,40,35,179,82,97,210,97,113,90,41,49,96,47,49,258,122,136,662,511,195,316,81.02,418,1714,388,1.68,2084,949,1135,314,126,188,2238,997,1241,46,17,29,13,6,7,0,0,0,8,4,4,13,0,8,9,131,79,25,6,15,11,7,13,2264,7,3,4,3,3,0,0,0,0,87,42,45,135,67,68,*,0,*,12,5,7,26,11,15,67,14,53,147,47,100,59,33,26,222,93,129,1418,671,747,12.35,12.99,11.86,1148,624,524,974,310,664,1098,588,510,50,36,14,589,1838,1137,390,5,93,850,913,356,2080,132,5,184,800,483,317,2506,1626,880,935,816,919,800,815,58,61,2506,3.13,0.64,730,20,148,624,16,21,734,769,0,755,5,753,753,3,750,*,739,761,748,688,484,513,685,650,447
09,Distrito Federal,010,Álvaro Obregón,0001,Total AGEB urbana,0031,000,3604,1736,1868,143,75,68,3403,1631,1772,3302,1573,1729,2962,1393,1569,2813,1318,1495,2641,1231,1410,135,69,66,306,169,137,349,188,161,149,75,74,172,87,85,422,209,213,1041,475,201,274,92.93,733,2488,325,1.83,2950,1444,1506,493,213,280,3072,1464,1608,115,49,66,22,7,15,0,0,0,17,4,13,22,0,17,45,146,79,26,6,18,4,5,22,3298,39,19,20,6,6,0,5,*,4,134,68,66,158,84,74,4,3,*,44,12,32,59,19,40,153,62,91,361,152,209,128,71,57,561,285,276,1383,663,720,10.39,10.57,10.24,1708,998,710,1173,353,820,1601,922,679,107,76,31,978,2475,1535,407,7,259,1214,1349,335,3058,197,5,144,969,674,295,3536,2624,912,1097,989,1077,969,988,75,33,3536,3.65,1.01,942,*,408,540,75,198,675,944,0,946,*,946,946,0,941,*,870,934,860,729,350,449,657,697,338
09,Distrito Federal,010,Álvaro Obregón,0001,Total AGEB urbana,0046,000,5634,2724,2910,242,125,117,5352,2577,2775,5185,2489,2696,4501,2157,2344,4221,2014,2207,3940,1859,2081,261,136,125,590,284,306,668,328,340,280,143,137,281,155,126,755,373,382,1583,594,251,343,93.61,1373,3823,398,2.09,4675,2273,2402,753,330,423,4914,2331,2583,90,48,42,62,32,30,0,0,0,50,28,22,60,0,48,148,189,123,30,16,11,8,8,19,5212,97,55,42,13,9,4,20,13,7,191,99,92,216,104,112,9,4,5,101,31,70,141,47,94,352,141,211,628,288,340,317,164,153,925,471,454,1601,777,824,9.21,9.49,8.96,2614,1562,1052,1741,507,1234,2463,1457,1006,151,105,46,2167,3278,1996,637,0,417,1713,2130,526,4742,339,17,140,1442,1022,420,5566,4152,1414,1564,1454,1552,1442,1454,83,27,5566,3.86,1.23,1289,11,581,725,145,260,892,1307,*,1299,5,1304,1300,0,1290,11,1202,1265,1152,985,408,531,896,944,396
09,Distrito Federal,010,Álvaro Obregón,0001,Total AGEB urbana,0050,000,3894,1850,2044,149,70,79,3706,1760,1946,3594,1711,1883,3175,1519,1656,2983,1420,1563,2809,1323,1486,177,78,99,354,163,191,427,206,221,192,99,93,174,97,77,473,229,244,1047,471,196,275,90.51,872,2649,334,2.09,3114,1484,1630,728,340,388,3444,1625,1819,113,64,49,50,28,22,*,*,0,40,23,17,50,*,40,138,238,152,67,14,23,19,11,29,3585,50,19,31,7,*,5,7,4,3,139,77,62,172,81,91,7,*,5,101,34,67,99,40,59,229,89,140,404,181,223,134,81,53,655,334,321,1337,640,697,9.81,9.98,9.66,1941,1115,826,1224,396,828,1806,1017,789,135,98,37,1280,2572,1529,470,4,424,1237,1499,430,3232,281,28,79,1052,711,341,3858,2752,1106,1313,1064,1301,1052,1064,186,63,3858,3.67,1.02,1043,4,490,557,85,223,735,1046,0,1043,4,1040,1045,0,1041,5,953,1022,908,756,366,430,688,780,351
09,Distrito Federal,010,Álvaro Obregón,0001,Total AGEB urbana,0065,000,5788,2820,2968,217,108,109,5384,2615,2769,5209,2522,2687,4637,2243,2394,4372,2112,2260,4094,1969,2125,268,137,131,479,235,244,578,297,281,265,131,134,278,143,135,649,355,294,1542,737,303,434,95.01,1229,3841,531,1.99,4793,2347,2446,656,299,357,4995,2400,2595,66,40,26,77,40,37,0,0,0,48,28,20,74,0,48,154,252,170,49,14,21,14,14,26,5149,75,45,30,4,*,*,12,4,8,209,106,103,197,110,87,5,3,*,94,26,68,160,50,110,309,121,188,579,235,344,301,168,133,934,515,419,1806,887,919,9.55,9.85,9.26,2691,1610,1081,1826,564,1262,2556,1517,1039,135,93,42,1855,3596,2381,512,5,508,1715,2100,667,4807,338,15,147,1566,1099,467,5592,4084,1508,1940,1629,1877,1566,1628,148,163,5592,3.57,1.09,1492,21,752,774,129,378,1016,1526,*,1515,3,1515,1507,0,1498,3,1427,1498,1358,1097,446,615,951,1095,441
09,Distrito Federal,010,Álvaro Obregón,0001,Total AGEB urbana,0084,000,2844,1369,1475,92,51,41,2722,1304,1418,2661,1284,1377,2366,1120,1246,2226,1052,1174,2085,981,1104,115,51,64,241,133,108,300,158,142,140,68,72,141,71,70,335,158,177,832,367,146,221,92.81,588,1973,253,2.08,2281,1118,1163,481,211,270,2532,1221,1311,73,40,33,20,10,10,0,0,0,8,4,4,20,0,8,39,112,65,28,16,16,14,9,15,2650,22,7,15,4,*,*,4,3,*,113,54,59,156,78,78,*,0,*,43,10,33,76,19,57,145,67,78,279,113,166,116,61,55,461,241,220,1048,516,532,10.05,10.30,9.83,1385,796,589,941,307,634,1311,745,566,74,51,23,924,1840,1132,326,*,297,952,1121,256,2400,138,*,94,752,518,234,2814,2029,785,830,762,820,752,762,49,19,2814,3.74,0.94,732,5,258,479,40,93,601,738,0,736,0,733,736,*,734,*,696,725,667,574,332,344,506,560,249
09,Distrito Federal,010,Álvaro Obregón,0001,Total AGEB urbana,0099,000,4239,2032,2207,177,86,91,3995,1913,2082,3864,1840,2024,3406,1604,1802,3207,1510,1697,3005,1417,1588,176,102,74,413,207,206,476,231,245,199,94,105,202,93,109,522,267,255,1198,489,223,266,92.07,965,2858,349,2.11,3296,1605,1691,707,312,395,3597,1707,1890,100,49,51,24,15,9,0,0,0,14,11,3,24,0,14,82,145,77,27,10,15,6,10,23,3850,57,31,26,12,5,7,14,5,9,147,76,71,178,94,84,*,*,0,73,17,56,94,26,68,256,108,148,429,190,239,175,100,75,744,364,380,1266,626,640,9.42,9.67,9.20,1922,1123,799,1356,425,931,1834,1061,773,88,62,26,1361,2655,1565,410,*,467,1249,1639,403,3467,296,0,109,1083,767,316,4176,3101,1075,1166,1104,1145,1083,1104,42,20,4176,3.86,1.08,1030,4,381,650,94,180,755,1032,*,1030,*,1032,1030,*,1026,*,961,1013,936,798,394,434,699,749,314
09,Distrito Federal,010,Álvaro Obregón,0001,Total AGEB urbana,0101,000,1531,734,797,40,27,13,1379,652,727,1353,641,712,1230,574,656,1177,547,630,1109,512,597,42,21,21,107,57,50,126,67,59,53,27,26,68,35,33,164,79,85,403,239,101,138,92.10,242,991,186,1.83,1201,597,604,200,73,127,1311,621,690,20,10,10,8,3,5,0,0,0,7,*,5,8,0,7,17,98,78,12,8,4,3,*,6,1302,15,8,7,*,0,*,*,*,0,55,28,27,88,41,47,*,*,0,14,4,10,27,8,19,64,19,45,130,52,78,45,28,17,200,97,103,639,317,322,10.69,11.12,10.31,642,370,272,562,191,371,601,337,264,41,33,8,354,1049,691,208,6,80,500,548,167,1190,115,*,88,392,251,141,1420,955,465,454,429,417,392,429,19,6,1420,3.62,0.83,385,0,79,306,10,21,353,384,*,385,0,385,385,0,384,0,367,380,373,342,172,221,335,279,177
09,Distrito Federal,010,Álvaro Obregón,0001,Total AGEB urbana,0116,000,4258,2102,2156,211,121,90,4005,1959,2046,3858,1879,1979,3370,1622,1748,3171,1515,1656,2965,1403,1562,224,119,105,411,218,193,477,257,220,199,107,92,206,112,94,581,285,296,1196,417,177,240,97.50,1045,2894,277,2.07,3458,1748,1710,710,308,402,3702,1811,1891,95,43,52,76,38,38,0,0,0,60,26,34,75,0,60,165,151,80,35,16,9,6,8,23,4023,78,40,38,5,*,3,13,10,3,158,95,63,169,77,92,10,6,4,121,31,90,150,46,104,239,98,141,461,217,244,173,98,75,848,440,408,1184,566,618,9.28,9.52,9.06,2000,1225,775,1340,385,955,1904,1154,750,96,71,25,1292,2883,1699,441,0,642,1307,1654,384,3631,263,*,68,1110,773,337,4216,3064,1152,1267,1124,1253,1110,1124,91,52,4216,3.80,1.11,1083,16,533,565,142,236,719,1100,0,1097,*,1098,1097,0,1094,4,1009,1084,929,797,347,413,695,797,299
